17:40:39:095 [ALWAYS]	GUDE Logging Started
17:40:39:097 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:40:39:097 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:40:39:097 [ERROR]	Initialize resume cache pointer failure
17:40:39:098 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
17:40:39:098 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
17:40:41:837 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
17:40:41:837 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:40:41:837 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:40:41:837 [ERROR]	Initialize resume cache pointer failure
17:40:41:838 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
17:40:41:838 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
17:40:41:844 [WARN]	WGudeRequest::applyAutoDetectProxyAutoConfigSettings Failed to autodetect proxy settings. WinHTTP Unable To Download Script. last error code = 12167 
